 170,CH2    ,HNO    ,NO     ,CH3   ,   ,  , 1.7e-11, 0.50,     0.0,NE
 171,NH     ,NH     ,H2     ,N2    ,   ,  , 1.7e-11, 0.00,     0.0,NE
 172,NH     ,OH     ,H2O    ,N     ,   ,  , 3.1e-12, 1.20,     0.0,NE
 173,NH     ,OH     ,NH2    ,O     ,   ,  , 2.9e-12, 0.10,  5800.0,NE
 174,NH     ,OH     ,HNO    ,H     ,   ,  , 3.3e-11, 0.00,     0.0,NE
 175,NH     ,H2O    ,NH2    ,OH    ,   ,  , 1.8e-12, 1.60, 14090.0,NE
 176,NH     ,CN     ,HCN    ,N     ,   ,  , 2.9e-12, 0.50,  1000.0,NE
 177,NH     ,NO     ,N2     ,O     ,H  ,  , 5.0e-11, 0.00,     0.0,NE
 178,NH     ,NO2    ,NO     ,HNO   ,   ,  , 5.7e-12, 0.50,  2500.0,NE
 179,CH3    ,CH3    ,C2H4   ,H2    ,   ,  , 1.7e-08, 0.00, 16556.0,NE
 180,CH3    ,CH3    ,C2H5   ,H     ,   ,  , 5.0e-11, 0.00,  6800.0,NE
 181,CH3    ,NH3    ,NH2    ,CH4   ,   ,  , 9.5e-14, 0.00,  4890.0,NE
 182,CH3    ,H2O    ,CH4    ,OH    ,   ,  , 1.2e-14, 2.90,  7480.0,NE
 183,CH3    ,CN     ,CH3CN  ,PHOTON,   ,  , 1.0e-16, 0.00,     0.0,NA
 184,CH3    ,HCO    ,CH4    ,CO    ,   ,  , 2.0e-10, 0.00,     0.0,NE
 185,CH3    ,H2CO   ,CH4    ,HCO   ,   ,  , 6.8e-12, 0.00,  4450.0,NE
 186,CH3    ,HNO    ,CH4    ,NO    ,   ,  , 1.4e-11, 0.50,     0.0,NE
 187,CH3    ,H2S    ,HS     ,CH4   ,   ,  , 3.3e-13, 0.00,  1105.0,NE
 188,O      ,H2     ,OH     ,H     ,   ,  , 3.4e-13, 2.67,  3160.0,NE
 189,O      ,CH     ,CO     ,H     ,   ,  , 6.6e-11, 0.00,     0.0,NE
 190,O      ,CH     ,HCO+   ,ELECTR,   ,  , 2.0e-11, 0.44,     0.0,CI
 191,O      ,CH     ,OH     ,C     ,   ,  , 2.5e-11, 0.00,  2381.0,NE
 192,O      ,CH2    ,CH     ,OH    ,   ,  , 5.0e-10, 0.00,  6000.0,NE
 193,O      ,CH2    ,HCO    ,H     ,   ,  , 1.4e-11, 0.50,  2000.0,NE
 194,O      ,CH2    ,CO     ,H     ,H  ,  , 2.0e-10, 0.00,     0.0,NE
 195,O      ,NH     ,NO     ,H     ,   ,  , 1.2e-10, 0.00,     0.0,NE
 196,O      ,NH     ,OH     ,N     ,   ,  , 1.2e-11, 0.00,     0.0,NE
 197,O      ,CH3    ,H2CO   ,H     ,   ,  , 1.4e-10, 0.00,     0.0,NE
 198,O      ,O      ,O2     ,PHOTON,   ,  , 4.9e-20, 1.58,     0.0,NA
 199,O      ,NH2    ,HNO    ,H     ,   ,  , 7.5e-11, 0.00,     0.0,NE
 200,O      ,NH2    ,NH     ,OH    ,   ,  , 1.2e-11, 0.00,     0.0,NE
 201,O      ,CH4    ,CH3    ,OH    ,   ,  , 8.3e-12, 1.56,  4270.0,NE
 202,O      ,OH     ,O2     ,H     ,   ,  , 4.3e-11,-0.50,    30.0,NE
 203,O      ,NH3    ,OH     ,NH2   ,   ,  , 1.6e-11, 0.00,  3670.0,NE
 204,O      ,H2O    ,OH     ,OH    ,   ,  , 1.9e-11, 0.95,  8571.0,NE
 205,O      ,C2     ,CO     ,C     ,   ,  , 5.0e-11, 0.50,     0.0,NE
 206,O      ,C2H    ,CO     ,CH    ,   ,  , 1.7e-11, 0.00,     0.0,NE
 207,O      ,CN     ,CO     ,N     ,   ,  , 1.7e-11, 0.00,    50.0,NE
 208,O      ,CN     ,NO     ,C     ,   ,  , 3.8e-11, 0.50, 14545.0,NE
 209,O      ,C2H2   ,C2H    ,OH    ,   ,  , 5.3e-09, 0.00,  8520.0,NE
 210,O      ,C2H2   ,CH2    ,CO    ,   ,  , 3.5e-12, 1.50,   850.0,NE
 211,O      ,C2H3   ,CH2CO  ,H     ,   ,  , 1.6e-10, 0.00,     0.0,NE
 212,O      ,HCN    ,OH     ,CN    ,   ,  , 3.7e-11, 1.58, 13386.0,NE
 213,O      ,N2     ,NO     ,N     ,   ,  , 1.9e-12, 1.00, 20820.0,NE
 214,O      ,C2H4   ,CH3    ,HCO   ,   ,  , 1.5e-12, 1.55,   215.0,NE
 215,O      ,C2H4   ,H2CO   ,CH2   ,   ,  , 4.2e-11, 0.00,  2520.0,NE
 216,O      ,C2H5   ,H2CO   ,CH3   ,   ,  , 2.7e-11, 0.00,     0.0,NE
 217,O      ,C2H5   ,CH3CHO ,H     ,   ,  , 1.3e-10, 0.00,     0.0,NE
 218,O      ,SIH    ,SIO    ,H     ,   ,  , 4.0e-11, 0.50,     0.0,NE
 219,O      ,HCO    ,CO2    ,H     ,   ,  , 5.0e-11, 0.00,     0.0,NE
 220,O      ,HCO    ,OH     ,CO    ,   ,  , 5.0e-11, 0.00,     0.0,NE
 221,O      ,NO     ,N      ,O2    ,   ,  , 1.9e-12, 1.00, 20820.0,NE
 222,O      ,SIH2   ,SIO    ,H     ,H  ,  , 5.0e-11, 0.50,     0.0,NE
 223,O      ,H2CO   ,HCO    ,OH    ,   ,  , 1.8e-11, 0.57,  1390.0,NE
 224,O      ,HNO    ,NH     ,O2    ,   ,  , 2.9e-12, 0.50,  3500.0,NE
 225,O      ,HNO    ,OH     ,NO    ,   ,  , 6.0e-11, 0.00,     0.0,NE
 226,O      ,HNO    ,NO2    ,H     ,   ,  , 1.4e-12, 0.50,     0.0,NE
 227,O      ,SIH3   ,H2SIO  ,H     ,   ,  , 5.0e-11, 0.50,     0.0,NE
 228,O      ,PH     ,PO     ,H     ,   ,  , 4.0e-11, 0.00,     0.0,NE
 229,O      ,HS     ,SO     ,H     ,   ,  , 2.3e-10, 0.00,     0.0,NE
 230,O      ,HS     ,OH     ,S     ,   ,  , 1.0e-12, 0.00,  4000.0,NE
 231,O      ,PH2    ,PO     ,H2    ,   ,  , 4.0e-11, 0.00,     0.0,NE
 232,O      ,PH2    ,PH     ,OH    ,   ,  , 2.0e-11, 0.00,     0.0,NE
 233,O      ,PH2    ,HPO    ,H     ,   ,  , 2.0e-11, 0.00,     0.0,NE
 234,O      ,O2H    ,OH     ,O2    ,   ,  , 5.4e-11, 0.00,     0.0,NE
 235,O      ,H2S    ,HS     ,OH    ,   ,  , 1.4e-11, 0.00,  1920.0,NE
 236,O      ,H2O2   ,O2H    ,OH    ,   ,  , 1.4e-12, 0.00,  2000.0,NE
 237,O      ,C3     ,CO     ,C2    ,   ,  , 5.0e-11, 0.50,     0.0,NE
 238,O      ,C3H    ,CO     ,C2H   ,   ,  , 1.0e-10, 0.00,   250.0,NE
 239,O      ,H2C3   ,C2H2   ,CO    ,   ,  , 5.0e-11, 0.50,     0.0,NE
 240,O      ,CCN    ,CN     ,CO    ,   ,  , 6.0e-12, 0.50,     0.0,NE
 241,O      ,CCO    ,CO     ,CO    ,   ,  , 8.6e-11, 0.00,     0.0,NE
 242,O      ,SIC    ,SIO    ,C     ,   ,  , 2.5e-11, 0.50,     0.0,NE
 243,O      ,SIC    ,CO     ,SI    ,   ,  , 2.5e-11, 0.50,     0.0,NE
 244,O      ,HCSI   ,SIO    ,CH    ,   ,  , 4.0e-11, 0.00,     0.0,NE
 245,O      ,SIN    ,SIO    ,N     ,   ,  , 2.5e-11, 0.50,     0.0,NE
 246,O      ,SIN    ,NO     ,SI    ,   ,  , 2.5e-11, 0.50,     0.0,NE
 247,O      ,OCN    ,NO     ,CO    ,   ,  , 1.5e-11, 0.00,     0.0,NE
 248,O      ,CP     ,P      ,CO    ,   ,  , 4.0e-11, 0.00,     0.0,NE
